driveName,Type,Type-1,Capacity (in GBs),Benchmark Rank,Price,Release_Date,Category,Size_Category
Intel DC P3500 2TB NVMe,SSD,SSD,1800,909,95999.2,2015,High Performance SSD,2 TB
KINGSTON SNVS2000GB,SSD,SSD,1800,912,20710.4,2021,High Performance SSD,2 TB
WDC WDS200T2B0B,SSD,SSD,1800,1669,14591.2,2018,Mid Performance SSD,2 TB
Seagate BarraCuda 120 SSD ZA2000CM10003,SSD,SSD,1800,1670,29455.2,2020,Mid Performance SSD,2 TB
Samsung SSD 870 EVO 2TB,SSD,SSD,1800,1699,17599.2,2021,Mid Performance SSD,2 TB
Samsung SSD 850 EVO 2TB,SSD,SSD,1800,1724,28000,2015,Mid Performance SSD,2 TB
Samsung SSD 860 EVO 2TB,SSD,SSD,1800,1753,29600,2018,Mid Performance SSD,2 TB
SanDisk SDSSDH3 2T00,SSD,SSD,1800,1783,19038.4,2019,Mid Performance SSD,2 TB
WDC WDS200T2B0A,SSD,SSD,1800,1819,16638.4,2018,Mid Performance SSD,2 TB
CT2000MX500SSD1,SSD,SSD,1800,1853,15839.2,2018,Mid Performance SSD,2 TB
SanDisk SDSSDA-2T00,SSD,SSD,1800,1900,15199.2,2020,Mid Performance SSD,2 TB
CT2000BX500SSD1,SSD,SSD,1800,3537,14399.2,2020,Basic SSD,2 TB
WDC WDS200T2G0A,SSD,SSD,1800,4267,14216.8,2020,Basic SSD,2 TB
XPG GAMMIX S70,SSD,SSD,1900,100,21280,2021,High Performance SSD,2 TB
INTEL SSDPEKNU020TZ,SSD,SSD,1900,157,17599.2,2021,High Performance SSD,2 TB
Viper M.2 VPN100 2TB,SSD,SSD,1900,301,15199.2,2019,High Performance SSD,2 TB
Samsung PM981 2TB NVMe,SSD,SSD,1900,380,39999.2,2018,High Performance SSD,2 TB
NVMe Sabrent,SSD,SSD,1900,412,14000,2019,High Performance SSD,2 TB
Samsung SSD 960 PRO 2TB,SSD,SSD,1900,517,100000,2017,High Performance SSD,2 TB
Toshiba XG5-P NVMe 2TB,SSD,SSD,1900,556,24399.2,2018,High Performance SSD,2 TB
Intel SSD 760P 2TB,SSD,SSD,1900,579,55999.2,2018,High Performance SSD,2 TB
INTEL SSDPEKNW020T9,SSD,SSD,1900,649,19199.2,2020,High Performance SSD,2 TB
Intel SSD 660p 2TB,SSD,SSD,1900,887,22156,2018,High Performance SSD,2 TB
NVMe INTEL SSDPEKNW02,SSD,SSD,1900,951,18799.2,2019,High Performance SSD,2 TB
Samsung SSD 850 PRO 2TB,SSD,SSD,1900,1698,40495.2,2016,Mid Performance SSD,2 TB
Samsung SSD 860 PRO 2TB,SSD,SSD,1900,1704,43920,2018,Mid Performance SSD,2 TB
ADATA SU800 SSD 2TB,SSD,SSD,1900,1752,37159.2,2019,Mid Performance SSD,2 TB
Crucial CT2050MX300SSD1,SSD,SSD,1900,2884,39200,2016,Mid Performance SSD,2 TB
Samsung SSD 870 EVO 4TB,SSD,SSD,3600,1668,59599.2,2021,Mid Performance SSD,Higher than 2 TB
Samsung SSD 860 EVO 4TB,SSD,SSD,3600,1731,67900.8,2018,Mid Performance SSD,Higher than 2 TB
Sabrent,SSD,SSD,3700,282,79999.2,2020,High Performance SSD,Higher than 2 TB
HITACHI HUS156060VLS600,HDD,HDD,559,5942,7997.6,2013,Mid Performance HDD,780 GB
SEAGATE ST3600057SS,HDD,HDD,559,6003,3920,2012,Basic HDD,780 GB
SEAGATE ST600MM0006,HDD,HDD,559,6041,14239.2,2014,Basic HDD,780 GB
WDC WD6000HLHX,HDD,HDD,559,6426,13599.2,2010,Basic HDD,780 GB
WDC WD6000BLHX,HDD,HDD,559,6513,12000,2012,Basic HDD,780 GB
SAMSUNG HM640JJ,HDD,HDD,582,6937,5599.2,2010,Basic HDD,780 GB
WDC WD6402AAEX,HDD,HDD,596,6674,4799.2,2010,Basic HDD,780 GB
Hitachi HTS727564A9E364,HDD,HDD,596,6757,5860,2012,Basic HDD,780 GB
WDC WD6400AAKS,HDD,HDD,596,6844,3360,2009,Basic HDD,780 GB
SAMSUNG HD642JJ,HDD,HDD,596,6897,5520,2008,Basic HDD,780 GB
Seagate ST3640323AS,HDD,HDD,596,6910,15135.2,2008,Basic HDD,780 GB
WDC WD6400AARS,HDD,HDD,596,6994,4992,2010,Basic HDD,780 GB
SAMSUNG HN-M640MBB,HDD,HDD,596,7044,12636,2013,Basic HDD,780 GB
Hitachi HDT721064SLA360,HDD,HDD,596,7086,1679.2,2009,Basic HDD,780 GB
TOSHIBA MK6461GSYN,HDD,HDD,596,7123,9927.2,2010,Basic HDD,780 GB
TOSHIBA MK6461GSY,HDD,HDD,596,7166,15996,2010,Basic HDD,780 GB
Seagate ST9640423AS,HDD,HDD,596,7170,6471.2,2011,Basic HDD,780 GB
Seagate ST640LM001,HDD,HDD,596,7227,14240,2012,Basic HDD,780 GB
SAMSUNG HM641JI,HDD,HDD,596,7246,2639.2,2010,Basic HDD,780 GB
HGST HTS541064A9E680,HDD,HDD,596,7258,2399.2,2013,Basic HDD,780 GB
WDC WD6400BPVT,HDD,HDD,596,7302,7799.2,2011,Basic HDD,780 GB
WDC WD6400AACS,HDD,HDD,596,7357,15199.2,2009,Basic HDD,780 GB
WDC WD6400BEVT,HDD,HDD,596,7368,7916,2010,Basic HDD,780 GB
TOSHIBA MK6475GSX,HDD,HDD,596,7429,4800,2011,Basic HDD,780 GB
TOSHIBA MK6459GSXP,HDD,HDD,596,7467,10015.2,2011,Basic HDD,780 GB
Seagate ST9640320AS,HDD,HDD,596,7476,6159.2,2010,Basic HDD,780 GB
TOSHIBA MK6459GSX,HDD,HDD,596,7506,11060,2013,Basic HDD,780 GB
Hitachi HTS547564A9E384,HDD,HDD,596,7553,4319.2,2011,Basic HDD,780 GB
TOSHIBA MK6476GSX,HDD,HDD,596,7608,9040,2011,Basic HDD,780 GB
TOSHIBA MK6465GSX,HDD,HDD,596,7699,3759.2,2010,Basic HDD,780 GB
WDC WD7500AZEX,HDD,HDD,699,6301,8325.6,2012,Basic HDD,780 GB
Hitachi HDS721075DLE630,HDD,HDD,699,6510,7199.2,2011,Basic HDD,780 GB
WDC WD7502AAEX,HDD,HDD,699,6520,13440,2011,Basic HDD,780 GB
WDC WD7500BPKT,HDD,HDD,699,6607,2879.2,2011,Basic HDD,780 GB
WDC WD7500BPKX,HDD,HDD,699,6624,6000,2013,Basic HDD,780 GB
WDC WD7500AALX,HDD,HDD,699,6682,8319.2,2011,Basic HDD,780 GB
WDC WD7501AALS,HDD,HDD,699,6735,9596,2009,Basic HDD,780 GB
Hitachi HTS727575A9E364,HDD,HDD,699,6740,4388.8,2011,Basic HDD,780 GB
Seagate ST3750528AS,HDD,HDD,699,6762,3456.8,2009,Basic HDD,780 GB
WDC WD7500LPCX,HDD,HDD,699,6776,4064,2013,Basic HDD,780 GB
WDC WD7500BPVX,HDD,HDD,699,6793,3116,2013,Basic HDD,780 GB
WDC WD7502ABYS,HDD,HDD,699,6804,5044.8,2009,Basic HDD,780 GB
WDC WD7500BFCX,HDD,HDD,699,6818,5359.2,2014,Basic HDD,780 GB
Seagate ST750LX003,HDD,HDD,699,6851,10199.2,2011,Basic HDD,780 GB
Seagate ST9750420AS,HDD,HDD,699,6923,4799.2,2010,Basic HDD,780 GB
TOSHIBA MQ01ABD075,HDD,HDD,699,6940,3839.2,2012,Basic HDD,780 GB
Seagate ST3750330SV,HDD,HDD,699,6951,3990.4,2013,Basic HDD,780 GB
Seagate ST3750330NS,HDD,HDD,699,6993,4391.2,2009,Basic HDD,780 GB
Seagate ST3750330AS,HDD,HDD,699,7003,4160,2008,Basic HDD,780 GB
Seagate ST9750422AS,HDD,HDD,699,7022,7200,2013,Basic HDD,780 GB
TOSHIBA MK7559GSXP,HDD,HDD,699,7041,7760,2010,Basic HDD,780 GB
Seagate ST750LM022,HDD,HDD,699,7081,5920,2012,Basic HDD,780 GB
WDC WD7500AARX,HDD,HDD,699,7100,9052,2011,Basic HDD,780 GB
SAMSUNG HD753LJ,HDD,HDD,699,7113,6000,2008,Basic HDD,780 GB
HGST HTS541075A9E680,HDD,HDD,699,7121,3199.2,2013,Basic HDD,780 GB
WDC WD7500BPVT,HDD,HDD,699,7169,2479.2,2011,Basic HDD,780 GB
WDC WD7500AARS,HDD,HDD,699,7204,6846.4,2011,Basic HDD,780 GB
TOSHIBA MK7575GSX,HDD,HDD,699,7225,7920,2011,Basic HDD,780 GB
WDC WD7500AYYS,HDD,HDD,699,7235,7991.2,2009,Basic HDD,780 GB
WDC WD7500AADS,HDD,HDD,699,7249,5219.2,2009,Basic HDD,780 GB
SAMSUNG HN-M750MBB,HDD,HDD,699,7273,4240,2011,Basic HDD,780 GB
HITACHI HTS541075A9E680,HDD,HDD,699,7304,5830.4,2012,Basic HDD,780 GB
WDC WD7500AAKS,HDD,HDD,699,7408,7920,2009,Basic HDD,780 GB
Hitachi HTS547575A9E384,HDD,HDD,699,7440,3549.6,2011,Basic HDD,780 GB
Seagate ST9750423AS,HDD,HDD,699,7488,11196,2011,Basic HDD,780 GB
Seagate ST3750640NS,HDD,HDD,699,7514,3439.2,2009,Basic HDD,780 GB
WDC WD7500AACS,HDD,HDD,699,7518,4880,2009,Basic HDD,780 GB
Seagate ST3750640AS,HDD,HDD,699,7574,1675.2,2008,Basic HDD,780 GB
WDC WD7500KPVT,HDD,HDD,699,7671,6070.4,2010,Basic HDD,780 GB
Seagate ST3750840AS,HDD,HDD,699,7775,9040,2009,Basic HDD,780 GB
Seagate ST3750640A,HDD,HDD,699,7995,13031.2,2009,Basic HDD,780 GB
WDC WD8000AARS,HDD,HDD,745,7146,5982.4,2010,Basic HDD,780 GB
WDC WD8088AADS,HDD,HDD,753,7322,11991.2,2009,Basic HDD,780 GB
SEAGATE ST900MM0006,HDD,HDD,838,5978,10400,2014,Mid Performance HDD,1 TB
SAMSUNG HD105SI,HDD,HDD,922,7036,5641.6,2010,Basic HDD,1 TB
Hitachi HUA722010CLA330,HDD,HDD,931,6665,7200,2010,Basic HDD,1 TB
Seagate ST1000NM0055,HDD,HDD,932,5861,7039.2,2017,Mid Performance HDD,1 TB
WDC WD1000DHTZ,HDD,HDD,932,5919,15099.2,2012,Mid Performance HDD,1 TB
WDC WD1000CHTZ,HDD,HDD,932,5935,16684,2012,Mid Performance HDD,1 TB
Seagate ST1000VX001,HDD,HDD,932,5967,5760,2015,Mid Performance HDD,1 TB
WDC WD1005FBYZ,HDD,HDD,932,5968,8000,2017,Mid Performance HDD,1 TB
WDC WD1004FBYZ,HDD,HDD,932,6012,3999.2,2017,Basic HDD,1 TB
Seagate ST1000DM003,HDD,HDD,932,6023,2399.2,2011,Basic HDD,1 TB
Seagate ST1000VX000,HDD,HDD,932,6057,9463.2,2012,Basic HDD,1 TB
WDC WD1002F9YZ,HDD,HDD,932,6086,13260,2014,Basic HDD,1 TB
TOSHIBA DT01ACA100,HDD,HDD,932,6097,2792,2012,Basic HDD,1 TB
WDC WD10EZEX,HDD,HDD,932,6126,2680,2012,Basic HDD,1 TB
TOSHIBA MG03ACA100,HDD,HDD,932,6128,3199.2,2014,Basic HDD,1 TB
Seagate ST1000DM003,HDD,HDD,932,6133,2480,2017,Basic HDD,1 TB
Seagate ST1000NM0033,HDD,HDD,932,6139,3119.2,2017,Basic HDD,1 TB
Seagate ST1000DM010,HDD,HDD,932,6174,3200,2016,Basic HDD,1 TB
Seagate ST1000VX005,HDD,HDD,932,6185,3999.2,2017,Basic HDD,1 TB
WDC WD1003FZEX,HDD,HDD,932,6190,5399.2,2013,Basic HDD,1 TB
Hitachi HDS721010DLE630,HDD,HDD,932,6254,8800,2011,Basic HDD,1 TB
WDC WD10SPSX,HDD,HDD,932,6259,4320,2020,Basic HDD,1 TB
Seagate ST1000VM002,HDD,HDD,932,6284,1999.2,2013,Basic HDD,1 TB
TOSHIBA MK1002TSKB,HDD,HDD,932,6302,7920,2012,Basic HDD,1 TB
TOSHIBA DT01ABA100V,HDD,HDD,932,6334,2098.4,2013,Basic HDD,1 TB
WDC WD10PURZ,HDD,HDD,932,6335,3599.2,2017,Basic HDD,1 TB
WDC WD10EFRX,HDD,HDD,932,6339,6356,2012,Basic HDD,1 TB
WDC WD10EZRX,HDD,HDD,932,6344,7199.2,2012,Basic HDD,1 TB
Seagate ST1000NM0011,HDD,HDD,932,6348,3879.2,2011,Basic HDD,1 TB
Seagate ST1000DX001,HDD,HDD,932,6351,13044,2015,Basic HDD,1 TB
WDC WD10EZRZ,HDD,HDD,932,6358,77331.2,2015,Basic HDD,1 TB
TOSHIBA MQ04ABF100,HDD,HDD,932,6361,2800,2017,Basic HDD,1 TB
Seagate ST1000DX002,HDD,HDD,932,6381,10876,2016,Basic HDD,1 TB
HGST HTS541010A7E630,HDD,HDD,932,6386,6399.2,2014,Basic HDD,1 TB
WDC WD1003FBYZ,HDD,HDD,932,6400,3199.2,2014,Basic HDD,1 TB
SAMSUNG HD103SJ,HDD,HDD,932,6416,9600,2009,Basic HDD,1 TB
WDC WD10EURX,HDD,HDD,932,6427,1999.2,2012,Basic HDD,1 TB
SAMSUNG HE103SJ,HDD,HDD,932,6432,12636,2010,Basic HDD,1 TB
HGST HTE721010A9E630,HDD,HDD,932,6435,6236,2014,Basic HDD,1 TB
Seagate ST1000LM049,HDD,HDD,932,6442,4400,2017,Basic HDD,1 TB
WDC WD10PURX,HDD,HDD,932,6459,4360,2014,Basic HDD,1 TB
WDC WD1003FBYX,HDD,HDD,932,6474,1976.8,2010,Basic HDD,1 TB
WDC WD1002FAEX,HDD,HDD,932,6504,8639.2,2010,Basic HDD,1 TB
TOSHIBA MQ01ABD100H,HDD,HDD,932,6509,3280,2013,Basic HDD,1 TB
Seagate ST31000524NS,HDD,HDD,932,6516,3836,2010,Basic HDD,1 TB
WDC WD10SPCX,HDD,HDD,932,6534,4239.2,2013,Basic HDD,1 TB
HGST HTS721010A9E630,HDD,HDD,932,6556,11765.6,2012,Basic HDD,1 TB
Seagate ST1000DM005,HDD,HDD,932,6574,6799.2,2012,Basic HDD,1 TB
WDC WD10JPLX,HDD,HDD,932,6582,5599.2,2016,Basic HDD,1 TB
WDC WD10EALS,HDD,HDD,932,6585,10399.2,2010,Basic HDD,1 TB
WDC WD1001FAES,HDD,HDD,932,6611,14320,2010,Basic HDD,1 TB
WDC WD10EALX,HDD,HDD,932,6620,5199.2,2011,Basic HDD,1 TB
WDC WD10SPZX,HDD,HDD,932,6622,3599.2,2016,Basic HDD,1 TB
Seagate ST31000533CS,HDD,HDD,932,6630,7991.2,2013,Basic HDD,1 TB
Hitachi HUA722010CLA331,HDD,HDD,932,6642,2399.2,2012,Basic HDD,1 TB
TOSHIBA MQ01ABD,HDD,HDD,932,6645,5168,2013,Basic HDD,1 TB
Seagate ST31000525SV,HDD,HDD,932,6685,7990.4,2009,Basic HDD,1 TB
Seagate ST1000DL002,HDD,HDD,932,6689,4399.2,2011,Basic HDD,1 TB
Seagate ST31000528AS,HDD,HDD,932,6696,7359.2,2009,Basic HDD,1 TB
WDC WD10JUCT,HDD,HDD,932,6699,6639.2,2013,Basic HDD,1 TB
Seagate ST31000520AS,HDD,HDD,932,6704,19996,2009,Basic HDD,1 TB
Hitachi HDS721010CLA632,HDD,HDD,932,6711,4400,2011,Basic HDD,1 TB
WDC WD1002FBYS,HDD,HDD,932,6720,15730.4,2009,Basic HDD,1 TB
TOSHIBA MQ01ABD100M,HDD,HDD,932,6723,3919.2,2016,Basic HDD,1 TB
WDC WD10EARX,HDD,HDD,932,6737,9599.2,2011,Basic HDD,1 TB
Seagate ST91000640NS,HDD,HDD,932,6741,7996,2013,Basic HDD,1 TB
Seagate ST31000524AS,HDD,HDD,932,6744,10088.8,2011,Basic HDD,1 TB
WDC WD10JPCX,HDD,HDD,932,6753,4559.2,2013,Basic HDD,1 TB
WDC WD10JPVX,HDD,HDD,932,6766,3519.2,2013,Basic HDD,1 TB
TOSHIBA MQ01ABD100,HDD,HDD,932,6769,2799.2,2012,Basic HDD,1 TB
Seagate ST31000526SV,HDD,HDD,932,6798,9647.2,2011,Basic HDD,1 TB
Hitachi HDS721010CLA332,HDD,HDD,932,6799,9892.8,2009,Basic HDD,1 TB
Seagate ST1000LM035,HDD,HDD,932,6814,3196,2016,Basic HDD,1 TB
WDC WD10JPVT,HDD,HDD,932,6815,6399.2,2012,Basic HDD,1 TB
WDC WD1001FALS,HDD,HDD,932,6858,8730.4,2009,Basic HDD,1 TB
Seagate ST1000LM014,HDD,HDD,932,6867,7192.8,2013,Basic HDD,1 TB
SAMSUNG HD103UJ,HDD,HDD,932,6878,7153.6,2008,Basic HDD,1 TB
Hitachi HCS721010CLA332,HDD,HDD,932,6882,7920,2014,Basic HDD,1 TB
Seagate ST31000333AS,HDD,HDD,932,6895,19519.2,2009,Basic HDD,1 TB
Hitachi HTS541010A9E680,HDD,HDD,932,6950,3974.4,2012,Basic HDD,1 TB
WDC WD10S21X,HDD,HDD,932,6952,14879.2,2014,Basic HDD,1 TB
Seagate ST1000LM048,HDD,HDD,932,6953,3599.2,2016,Basic HDD,1 TB
SAMSUNG HD103SI,HDD,HDD,932,6957,4136.8,2009,Basic HDD,1 TB
WDC WD10EUCX,HDD,HDD,932,6961,7045.6,2013,Basic HDD,1 TB
Seagate ST1000LM024,HDD,HDD,932,6968,2959.2,2012,Basic HDD,1 TB
TOSHIBA MQ02ABF100,HDD,HDD,932,6972,11400,2014,Basic HDD,1 TB
HP GB1000EAFJL,HDD,HDD,932,6976,11040,2012,Basic HDD,1 TB
WDC WD10J31X,HDD,HDD,932,6987,16360,2015,Basic HDD,1 TB
Seagate ST31000340NS,HDD,HDD,932,6995,3431.2,2009,Basic HDD,1 TB
